Stages,Leader,Year,Yellow Jersey,Green jersey,White jersey,Polka-dot jersey
12.0,LUCIEN MAZAN DIT PETIT-BRETON,1907,,,,
13.0,LUCIEN MAZAN DIT PETIT-BRETON,1907,,,,
14.0,LUCIEN MAZAN DIT PETIT-BRETON,1907,,,,
1.0,GEORGES PASSERIEU,1908,,,,
2.0,GEORGES PASSERIEU,1908,,,,
3.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
4.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
5.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
6.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
7.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
8.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
9.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
10.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
11.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
12.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
13.0,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
14.1,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
14.2,LUCIEN MAZAN DIT PETIT-BRETON,1908,,,,
1.0,CYRILLE VAN HAUWAERT,1909,,,,
2.0,FRANÇOIS FABER,1909,,,,
3.0,FRANÇOIS FABER,1909,,,,
4.0,FRANÇOIS FABER,1909,,,,
5.0,FRANÇOIS FABER,1909,,,,
6.0,FRANÇOIS FABER,1909,,,,
7.0,FRANÇOIS FABER,1909,,,,
8.0,FRANÇOIS FABER,1909,,,,
9.0,FRANÇOIS FABER,1909,,,,
10.0,FRANÇOIS FABER,1909,,,,
11.0,FRANÇOIS FABER,1909,,,,
12.0,FRANÇOIS FABER,1909,,,,
13.0,FRANÇOIS FABER,1909,,,,
14.0,FRANÇOIS FABER,1909,,,,
1.0,CHARLES CRUPELANDT,1910,,,,
2.0,FRANÇOIS FABER,1910,,,,
3.0,FRANÇOIS FABER,1910,,,,
4.0,FRANÇOIS FABER,1910,,,,
5.0,FRANÇOIS FABER,1910,,,,
6.0,FRANÇOIS FABER,1910,,,,
7.0,FRANÇOIS FABER,1910,,,,
8.0,FRANÇOIS FABER,1910,,,,
9.0,FRANÇOIS FABER,1910,,,,
10.0,FRANÇOIS FABER,1910,,,,
11.0,FRANÇOIS FABER,1910,,,,
12.0,FRANÇOIS FABER,1910,,,,
13.0,OCTAVE LAPIZE,1910,,,,
14.0,OCTAVE LAPIZE,1910,,,,
15.0,OCTAVE LAPIZE,1910,,,,
1.0,GUSTAVE GARRIGOU,1911,,,,
2.0,JULES MASSELIS,1911,,,,
3.0,FRANÇOIS FABER,1911,,,,
4.0,GUSTAVE GARRIGOU,1911,,,,
5.0,GUSTAVE GARRIGOU,1911,,,,
6.0,GUSTAVE GARRIGOU,1911,,,,
7.0,GUSTAVE GARRIGOU,1911,,,,
8.0,GUSTAVE GARRIGOU,1911,,,,
9.0,GUSTAVE GARRIGOU,1911,,,,
10.0,GUSTAVE GARRIGOU,1911,,,,
11.0,GUSTAVE GARRIGOU,1911,,,,
12.0,GUSTAVE GARRIGOU,1911,,,,
13.0,GUSTAVE GARRIGOU,1911,,,,
14.0,GUSTAVE GARRIGOU,1911,,,,
15.0,GUSTAVE GARRIGOU,1911,,,,
1.0,CHARLES CRUPELANDT,1912,,,,
2.0,VICENZO BORGARELLO,1912,,,,
3.0,ODIEL DEFRAEYE,1912,,,,
4.0,ODIEL DEFRAEYE,1912,,,,
5.0,ODIEL DEFRAEYE,1912,,,,
6.0,ODIEL DEFRAEYE,1912,,,,
7.0,ODIEL DEFRAEYE,1912,,,,
8.0,ODIEL DEFRAEYE,1912,,,,
9.0,ODIEL DEFRAEYE,1912,,,,
10.0,ODIEL DEFRAEYE,1912,,,,
11.0,ODIEL DEFRAEYE,1912,,,,
12.0,ODIEL DEFRAEYE,1912,,,,
13.0,ODIEL DEFRAEYE,1912,,,,
14.0,ODIEL DEFRAEYE,1912,,,,
15.0,ODIEL DEFRAEYE,1912,,,,
1.0,CLAUDIO MICHELOTTO,1913,,,,
2.0,JULES MASSELIS,1913,,,,
3.0,ODIEL DEFRAEYE,1913,,,,
4.0,ODIEL DEFRAEYE,1913,,,,
5.0,ODIEL DEFRAEYE,1913,,,,
6.0,ODIEL DEFRAEYE,1913,,,,
7.0,ODIEL DEFRAEYE,1913,,,,
8.0,MARCEL BUYSSE,1913,,,,
9.0,PHILIPPE THYS,1913,,,,
10.0,PHILIPPE THYS,1913,,,,
11.0,PHILIPPE THYS,1913,,,,
12.0,PHILIPPE THYS,1913,,,,
13.0,PHILIPPE THYS,1913,,,,
14.0,PHILIPPE THYS,1913,,,,
15.0,PHILIPPE THYS,1913,,,,
1.0,PHILIPPE THYS,1914,,,,
2.0,JEAN ROSSIUS,1914,,,,
3.0,JEAN ROSSIUS,1914,,,,
4.0,JEAN ROSSIUS,1914,,,,
5.0,JEAN ROSSIUS,1914,,,,
6.0,PHILIPPE THYS,1914,,,,
7.0,PHILIPPE THYS,1914,,,,
8.0,PHILIPPE THYS,1914,,,,
9.0,PHILIPPE THYS,1914,,,,
10.0,PHILIPPE THYS,1914,,,,
11.0,PHILIPPE THYS,1914,,,,
12.0,PHILIPPE THYS,1914,,,,
13.0,PHILIPPE THYS,1914,,,,
14.0,PHILIPPE THYS,1914,,,,
15.0,PHILIPPE THYS,1914,,,,
1.0,,1919,JEAN ROSSIUS,,,
2.0,,1919,HENRI PELISSIER,,,
3.0,,1919,HENRI PELISSIER,,,
4.0,,1919,EUGÈNE CHRISTOPHE,,,
5.0,,1919,EUGÈNE CHRISTOPHE,,,
6.0,,1919,EUGÈNE CHRISTOPHE,,,
7.0,,1919,EUGÈNE CHRISTOPHE,,,
8.0,,1919,EUGÈNE CHRISTOPHE,,,
9.0,,1919,EUGÈNE CHRISTOPHE,,,
10.0,,1919,EUGÈNE CHRISTOPHE,,,
11.0,,1919,EUGÈNE CHRISTOPHE,,,
12.0,,1919,EUGÈNE CHRISTOPHE,,,
13.0,,1919,EUGÈNE CHRISTOPHE,,,
14.0,,1919,FIRMIN LAMBOT,,,
15.0,,1919,FIRMIN LAMBOT,,,
1.0,,1920,LOUIS MOTTIAT,,,
2.0,,1920,PHILIPPE THYS,,,
3.0,,1920,PHILIPPE THYS,,,
4.0,,1920,PHILIPPE THYS,,,
5.0,,1920,PHILIPPE THYS,,,
6.0,,1920,PHILIPPE THYS,,,
7.0,,1920,PHILIPPE THYS,,,
8.0,,1920,PHILIPPE THYS,,,
9.0,,1920,PHILIPPE THYS,,,
10.0,,1920,PHILIPPE THYS,,,
11.0,,1920,PHILIPPE THYS,,,
12.0,,1920,PHILIPPE THYS,,,
13.0,,1920,PHILIPPE THYS,,,
14.0,,1920,PHILIPPE THYS,,,
15.0,,1920,PHILIPPE THYS,,,
1.0,,1921,LOUIS MOTTIAT,,,
2.0,,1921,LÉON SCIEUR,,,
3.0,,1921,LÉON SCIEUR,,,
4.0,,1921,LÉON SCIEUR,,,
5.0,,1921,LÉON SCIEUR,,,
6.0,,1921,LÉON SCIEUR,,,
7.0,,1921,LÉON SCIEUR,,,
8.0,,1921,LÉON SCIEUR,,,
9.0,,1921,LÉON SCIEUR,,,
10.0,,1921,LÉON SCIEUR,,,
11.0,,1921,LÉON SCIEUR,,,
12.0,,1921,LÉON SCIEUR,,,
13.0,,1921,LÉON SCIEUR,,,
14.0,,1921,LÉON SCIEUR,,,
15.0,,1921,LÉON SCIEUR,,,
1.0,,1922,ROBERT JACQUINOT,,,
2.0,,1922,ROBERT JACQUINOT,,,
3.0,,1922,ROBERT JACQUINOT,,,
4.0,,1922,EUGÈNE CHRISTOPHE,,,
5.0,,1922,EUGÈNE CHRISTOPHE,,,
6.0,,1922,EUGÈNE CHRISTOPHE,,,
7.0,,1922,JEAN ALAVOINE,,,
8.0,,1922,JEAN ALAVOINE,,,
9.0,,1922,JEAN ALAVOINE,,,
10.0,,1922,JEAN ALAVOINE,,,
11.0,,1922,JEAN ALAVOINE,,,
12.0,,1922,HECTOR HEUSGHEM,,,
13.0,,1922,FIRMIN LAMBOT,,,
14.0,,1922,FIRMIN LAMBOT,,,
15.0,,1922,FIRMIN LAMBOT,,,
1.0,,1923,ROBERT JACQUINOT,,,
2.0,,1923,OTTAVIO BOTTECCHIA,,,
3.0,,1923,OTTAVIO BOTTECCHIA,,,
4.0,,1923,ROMAIN BELLENGER,,,
5.0,,1923,ROMAIN BELLENGER,,,
6.0,,1923,OTTAVIO BOTTECCHIA,,,
7.0,,1923,OTTAVIO BOTTECCHIA,,,
8.0,,1923,OTTAVIO BOTTECCHIA,,,
9.0,,1923,OTTAVIO BOTTECCHIA,,,
10.0,,1923,HENRI PELISSIER,,,
11.0,,1923,HENRI PELISSIER,,,
12.0,,1923,HENRI PELISSIER,,,
13.0,,1923,HENRI PELISSIER,,,
14.0,,1923,HENRI PELISSIER,,,
15.0,,1923,HENRI PELISSIER,,,
1.0,,1924,OTTAVIO BOTTECCHIA,,,
2.0,,1924,OTTAVIO BOTTECCHIA,,,
3.0,,1924,OTTAVIO BOTTECCHIA,,,
4.0,,1924,OTTAVIO BOTTECCHIA,,,
5.0,,1924,OTTAVIO BOTTECCHIA,,,
6.0,,1924,OTTAVIO BOTTECCHIA,,,
7.0,,1924,OTTAVIO BOTTECCHIA,,,
8.0,,1924,OTTAVIO BOTTECCHIA,,,
9.0,,1924,OTTAVIO BOTTECCHIA,,,
10.0,,1924,OTTAVIO BOTTECCHIA,,,
11.0,,1924,OTTAVIO BOTTECCHIA,,,
12.0,,1924,OTTAVIO BOTTECCHIA,,,
13.0,,1924,OTTAVIO BOTTECCHIA,,,
14.0,,1924,OTTAVIO BOTTECCHIA,,,
15.0,,1924,OTTAVIO BOTTECCHIA,,,
1.0,,1925,OTTAVIO BOTTECCHIA,,,
2.0,,1925,OTTAVIO BOTTECCHIA,,,
3.0,,1925,ADELIN BENOIT,,,
4.0,,1925,ADELIN BENOIT,,,
5.0,,1925,ADELIN BENOIT,,,
6.0,,1925,ADELIN BENOIT,,,
7.0,,1925,ADELIN BENOIT,,,
8.0,,1925,ADELIN BENOIT,,,
9.0,,1925,OTTAVIO BOTTECCHIA,,,
10.0,,1925,OTTAVIO BOTTECCHIA,,,
11.0,,1925,OTTAVIO BOTTECCHIA,,,
12.0,,1925,OTTAVIO BOTTECCHIA,,,
13.0,,1925,OTTAVIO BOTTECCHIA,,,
14.0,,1925,OTTAVIO BOTTECCHIA,,,
15.0,,1925,OTTAVIO BOTTECCHIA,,,
16.0,,1925,OTTAVIO BOTTECCHIA,,,
17.0,,1925,OTTAVIO BOTTECCHIA,,,
18.0,,1925,OTTAVIO BOTTECCHIA,,,
1.0,,1926,JULES BUYSSE,,,
2.0,,1926,JULES BUYSSE,,,
3.0,,1926,GUSTAAF VAN SLEMBROUCK,,,
4.0,,1926,GUSTAAF VAN SLEMBROUCK,,,
5.0,,1926,GUSTAAF VAN SLEMBROUCK,,,
6.0,,1926,GUSTAAF VAN SLEMBROUCK,,,
7.0,,1926,GUSTAAF VAN SLEMBROUCK,,,
8.0,,1926,GUSTAAF VAN SLEMBROUCK,,,
9.0,,1926,GUSTAAF VAN SLEMBROUCK,,,
10.0,,1926,LUCIEN BUYSSE,,,
11.0,,1926,LUCIEN BUYSSE,,,
12.0,,1926,LUCIEN BUYSSE,,,
13.0,,1926,LUCIEN BUYSSE,,,
14.0,,1926,LUCIEN BUYSSE,,,
15.0,,1926,LUCIEN BUYSSE,,,
16.0,,1926,LUCIEN BUYSSE,,,
17.0,,1926,LUCIEN BUYSSE,,,
1.0,,1927,FRANCIS PELISSIER,,,
2.0,,1927,FRANCIS PELISSIER,,,
3.0,,1927,FRANCIS PELISSIER,,,
4.0,,1927,FRANCIS PELISSIER,,,
5.0,,1927,FRANCIS PELISSIER,,,
6.0,,1927,FERDINAND LE DROGO,,,
7.0,,1927,HECTOR MARTIN,,,
8.0,,1927,HECTOR MARTIN,,,
9.0,,1927,HECTOR MARTIN,,,
10.0,,1927,HECTOR MARTIN,,,
11.0,,1927,NICOLAS FRANTZ,,,
12.0,,1927,NICOLAS FRANTZ,,,
13.0,,1927,NICOLAS FRANTZ,,,
14.0,,1927,NICOLAS FRANTZ,,,
15.0,,1927,NICOLAS FRANTZ,,,
16.0,,1927,NICOLAS FRANTZ,,,
17.0,,1927,NICOLAS FRANTZ,,,
18.0,,1927,NICOLAS FRANTZ,,,
19.0,,1927,NICOLAS FRANTZ,,,
20.0,,1927,NICOLAS FRANTZ,,,
21.0,,1927,NICOLAS FRANTZ,,,
22.0,,1927,NICOLAS FRANTZ,,,
23.0,,1927,NICOLAS FRANTZ,,,
24.0,,1927,NICOLAS FRANTZ,,,
1.0,,1928,NICOLAS FRANTZ,,,
2.0,,1928,NICOLAS FRANTZ,,,
3.0,,1928,NICOLAS FRANTZ,,,
4.0,,1928,NICOLAS FRANTZ,,,
5.0,,1928,NICOLAS FRANTZ,,,
6.0,,1928,NICOLAS FRANTZ,,,
7.0,,1928,NICOLAS FRANTZ,,,
8.0,,1928,NICOLAS FRANTZ,,,
9.0,,1928,NICOLAS FRANTZ,,,
10.0,,1928,NICOLAS FRANTZ,,,
11.0,,1928,NICOLAS FRANTZ,,,
12.0,,1928,NICOLAS FRANTZ,,,
13.0,,1928,NICOLAS FRANTZ,,,
14.0,,1928,NICOLAS FRANTZ,,,
15.0,,1928,NICOLAS FRANTZ,,,
16.0,,1928,NICOLAS FRANTZ,,,
17.0,,1928,NICOLAS FRANTZ,,,
18.0,,1928,NICOLAS FRANTZ,,,
19.0,,1928,NICOLAS FRANTZ,,,
20.0,,1928,NICOLAS FRANTZ,,,
21.0,,1928,NICOLAS FRANTZ,,,
22.0,,1928,NICOLAS FRANTZ,,,
1.0,,1929,AIMÉ DOSSCHE,,,
2.0,,1929,AIMÉ DOSSCHE,,,
3.0,,1929,AIMÉ DOSSCHE,,,
4.0,,1929,MAURICE DE WAELE,,,
5.0,,1929,MAURICE DE WAELE,,,
6.0,,1929,MAURICE DE WAELE,,,
7.0,,1929,NICOLAS FRANTZ,,,
8.0,,1929,AIMÉ DOSSCHE,,,
9.0,,1929,VICTOR FONTAN,,,
10.0,,1929,MAURICE DE WAELE,,,
11.0,,1929,MAURICE DE WAELE,,,
12.0,,1929,MAURICE DE WAELE,,,
13.0,,1929,MAURICE DE WAELE,,,
14.0,,1929,MAURICE DE WAELE,,,
15.0,,1929,MAURICE DE WAELE,,,
16.0,,1929,MAURICE DE WAELE,,,
17.0,,1929,MAURICE DE WAELE,,,
18.0,,1929,MAURICE DE WAELE,,,
19.0,,1929,MAURICE DE WAELE,,,
20.0,,1929,MAURICE DE WAELE,,,
21.0,,1929,MAURICE DE WAELE,,,
22.0,,1929,MAURICE DE WAELE,,,
1.0,,1930,CHARLES PELISSIER,,,
2.0,,1930,LEARCO GUERRA,,,
3.0,,1930,LEARCO GUERRA,,,
4.0,,1930,LEARCO GUERRA,,,
5.0,,1930,LEARCO GUERRA,,,
6.0,,1930,LEARCO GUERRA,,,
7.0,,1930,LEARCO GUERRA,,,
8.0,,1930,LEARCO GUERRA,,,
9.0,,1930,ANDRÉ LEDUCQ,,,
10.0,,1930,ANDRÉ LEDUCQ,,,
11.0,,1930,ANDRÉ LEDUCQ,,,
12.0,,1930,ANDRÉ LEDUCQ,,,
13.0,,1930,ANDRÉ LEDUCQ,,,
14.0,,1930,ANDRÉ LEDUCQ,,,
15.0,,1930,ANDRÉ LEDUCQ,,,
16.0,,1930,ANDRÉ LEDUCQ,,,
17.0,,1930,ANDRÉ LEDUCQ,,,
18.0,,1930,ANDRÉ LEDUCQ,,,
19.0,,1930,ANDRÉ LEDUCQ,,,
20.0,,1930,ANDRÉ LEDUCQ,,,
21.0,,1930,ANDRÉ LEDUCQ,,,
1.0,,1931,ALFRED HAEMERLINCK,,,
2.0,,1931,MAX BULLA,,,
3.0,,1931,LÉON LE CALVEZ,,,
4.0,,1931,RAFAËLE DI PACO,,,
5.0,,1931,CHARLES PELISSIER,,,
6.0,,1931,RAFAËLE DI PACO,,,
7.0,,1931,RAFAËLE DI PACO,,,
8.0,,1931,CHARLES PELISSIER,,,
9.0,,1931,ANTONIN MAGNE,,,
10.0,,1931,ANTONIN MAGNE,,,
11.0,,1931,ANTONIN MAGNE,,,
12.0,,1931,ANTONIN MAGNE,,,
13.0,,1931,ANTONIN MAGNE,,,
14.0,,1931,ANTONIN MAGNE,,,
15.0,,1931,ANTONIN MAGNE,,,
16.0,,1931,ANTONIN MAGNE,,,
17.0,,1931,ANTONIN MAGNE,,,
18.0,,1931,ANTONIN MAGNE,,,
19.0,,1931,ANTONIN MAGNE,,,
20.0,,1931,ANTONIN MAGNE,,,
21.0,,1931,ANTONIN MAGNE,,,
22.0,,1931,ANTONIN MAGNE,,,
23.0,,1931,ANTONIN MAGNE,,,
24.0,,1931,ANTONIN MAGNE,,,
1.0,,1932,JEAN AERTS,,,
2.0,,1932,KURT STOEPEL,,,
3.0,,1932,ANDRÉ LEDUCQ,,,
4.0,,1932,ANDRÉ LEDUCQ,,,
5.0,,1932,ANDRÉ LEDUCQ,,,
6.0,,1932,ANDRÉ LEDUCQ,,,
7.0,,1932,ANDRÉ LEDUCQ,,,
8.0,,1932,ANDRÉ LEDUCQ,,,
9.0,,1932,ANDRÉ LEDUCQ,,,
10.0,,1932,ANDRÉ LEDUCQ,,,
11.0,,1932,ANDRÉ LEDUCQ,,,
12.0,,1932,ANDRÉ LEDUCQ,,,
13.0,,1932,ANDRÉ LEDUCQ,,,
14.0,,1932,ANDRÉ LEDUCQ,,,
15.0,,1932,ANDRÉ LEDUCQ,,,
16.0,,1932,ANDRÉ LEDUCQ,,,
17.0,,1932,ANDRÉ LEDUCQ,,,
18.0,,1932,ANDRÉ LEDUCQ,,,
19.0,,1932,ANDRÉ LEDUCQ,,,
20.0,,1932,ANDRÉ LEDUCQ,,,
21.0,,1932,ANDRÉ LEDUCQ,,,
1.0,,1933,MAURICE ARCHAMBAUD,,,
2.0,,1933,MAURICE ARCHAMBAUD,,,
3.0,,1933,MAURICE ARCHAMBAUD,,,
4.0,,1933,MAURICE ARCHAMBAUD,,,
5.0,,1933,MAURICE ARCHAMBAUD,,,
6.0,,1933,MAURICE ARCHAMBAUD,,,
7.0,,1933,MAURICE ARCHAMBAUD,,,
8.0,,1933,MAURICE ARCHAMBAUD,,,
9.0,,1933,GEORGES LEMAIRE,,,
10.0,,1933,GEORGES LEMAIRE,,,
11.0,,1933,MAURICE ARCHAMBAUD,,,
12.0,,1933,GEORGES SPEICHER,,,
13.0,,1933,GEORGES SPEICHER,,,
14.0,,1933,CHARLES PELISSIER,,,
15.0,,1933,GEORGES SPEICHER,,,
16.0,,1933,GEORGES SPEICHER,,,
17.0,,1933,GEORGES SPEICHER,,,
18.0,,1933,GEORGES SPEICHER,,,
19.0,,1933,GEORGES SPEICHER,,,
20.0,,1933,GEORGES SPEICHER,,,
21.0,,1933,GEORGES SPEICHER,,,
22.0,,1933,GEORGES SPEICHER,,,
23.0,,1933,GEORGES SPEICHER,,,VICENTE TRUEBA
1.0,,1934,GEORGES SPEICHER,,,
2.0,,1934,ANTONIN MAGNE,,,
3.0,,1934,ANTONIN MAGNE,,,
4.0,,1934,ANTONIN MAGNE,,,
5.0,,1934,ANTONIN MAGNE,,,
6.0,,1934,ANTONIN MAGNE,,,
7.0,,1934,ANTONIN MAGNE,,,
8.0,,1934,ANTONIN MAGNE,,,
9.0,,1934,ANTONIN MAGNE,,,
10.0,,1934,ANTONIN MAGNE,,,
11.0,,1934,ANTONIN MAGNE,,,
12.0,,1934,ANTONIN MAGNE,,,
13.0,,1934,ANTONIN MAGNE,,,
14.0,,1934,ANTONIN MAGNE,,,
15.0,,1934,ANTONIN MAGNE,,,
16.0,,1934,ANTONIN MAGNE,,,
17.0,,1934,ANTONIN MAGNE,,,
18.0,,1934,ANTONIN MAGNE,,,
19.0,,1934,ANTONIN MAGNE,,,
20.0,,1934,ANTONIN MAGNE,,,
21.1,,1934,ANTONIN MAGNE,,,
21.2,,1934,ANTONIN MAGNE,,,
22.0,,1934,ANTONIN MAGNE,,,
23.0,,1934,ANTONIN MAGNE,,,RENÉ VIETTO
1.0,,1935,ROMAIN MAES,,,
2.0,,1935,ROMAIN MAES,,,
3.0,,1935,ROMAIN MAES,,,
4.0,,1935,ROMAIN MAES,,,
5.1,,1935,ROMAIN MAES,,,
5.2,,1935,ROMAIN MAES,,,
6.0,,1935,ROMAIN MAES,,,
7.0,,1935,ROMAIN MAES,,,
8.0,,1935,ROMAIN MAES,,,
9.0,,1935,ROMAIN MAES,,,
10.0,,1935,ROMAIN MAES,,,
11.0,,1935,ROMAIN MAES,,,
12.0,,1935,ROMAIN MAES,,,
13.1,,1935,ROMAIN MAES,,,
13.2,,1935,ROMAIN MAES,,,
14.1,,1935,ROMAIN MAES,,,
14.2,,1935,ROMAIN MAES,,,
15.0,,1935,ROMAIN MAES,,,
16.0,,1935,ROMAIN MAES,,,
17.0,,1935,ROMAIN MAES,,,
18.1,,1935,ROMAIN MAES,,,
18.2,,1935,ROMAIN MAES,,,
19.1,,1935,ROMAIN MAES,,,
19.2,,1935,ROMAIN MAES,,,
20.1,,1935,ROMAIN MAES,,,
20.2,,1935,ROMAIN MAES,,,
21.0,,1935,ROMAIN MAES,,,FÉLICIEN VERVAECKE
1.0,,1936,PAUL EGLI,,,
2.0,,1936,MAURICE ARCHAMBAUD,,,
3.0,,1936,ARSÈNE MERSCH,,,
4.0,,1936,MAURICE ARCHAMBAUD,,,
5.0,,1936,MAURICE ARCHAMBAUD,,,
6.0,,1936,MAURICE ARCHAMBAUD,,,
7.0,,1936,MAURICE ARCHAMBAUD,,,
8.0,,1936,SYLVÈRE MAES,,,
9.0,,1936,SYLVÈRE MAES,,,
10.0,,1936,SYLVÈRE MAES,,,
11.0,,1936,SYLVÈRE MAES,,,
12.0,,1936,SYLVÈRE MAES,,,
13.1,,1936,SYLVÈRE MAES,,,
13.2,,1936,SYLVÈRE MAES,,,
14.1,,1936,SYLVÈRE MAES,,,
14.2,,1936,SYLVÈRE MAES,,,
15.0,,1936,SYLVÈRE MAES,,,
16.0,,1936,SYLVÈRE MAES,,,
17.0,,1936,SYLVÈRE MAES,,,
18.1,,1936,SYLVÈRE MAES,,,
18.2,,1936,SYLVÈRE MAES,,,
19.1,,1936,SYLVÈRE MAES,,,
19.2,,1936,SYLVÈRE MAES,,,
19.3,,1936,SYLVÈRE MAES,,,
20.1,,1936,SYLVÈRE MAES,,,
20.2,,1936,SYLVÈRE MAES,,,
21.0,,1936,SYLVÈRE MAES,,,JULIAN BERRENDERO
1.0,,1937,JEAN MAJERUS,,,
2.0,,1937,JEAN MAJERUS,,,
3.0,,1937,MARCEL KINT,,,
4.0,,1937,ERICH BAUTZ,,,
5.1,,1937,ERICH BAUTZ,,,
5.2,,1937,ERICH BAUTZ,,,
5.3,,1937,ERICH BAUTZ,,,
6.0,,1937,ERICH BAUTZ,,,
7.0,,1937,GINO BARTALI,,,
8.0,,1937,GINO BARTALI,,,
9.0,,1937,SYLVÈRE MAES,,,
10.0,,1937,SYLVÈRE MAES,,,
11.1,,1937,SYLVÈRE MAES,,,
11.2,,1937,SYLVÈRE MAES,,,
12.1,,1937,SYLVÈRE MAES,,,
12.2,,1937,SYLVÈRE MAES,,,
13.1,,1937,SYLVÈRE MAES,,,
13.2,,1937,SYLVÈRE MAES,,,
14.1,,1937,SYLVÈRE MAES,,,
14.2,,1937,SYLVÈRE MAES,,,
14.3,,1937,SYLVÈRE MAES,,,
15.0,,1937,SYLVÈRE MAES,,,
16.0,,1937,SYLVÈRE MAES,,,
17.1,,1937,ROGER LAPEBIE,,,
17.2,,1937,ROGER LAPEBIE,,,
17.3,,1937,ROGER LAPEBIE,,,
18.1,,1937,ROGER LAPEBIE,,,
18.2,,1937,ROGER LAPEBIE,,,
19.1,,1937,ROGER LAPEBIE,,,
19.2,,1937,ROGER LAPEBIE,,,
20.0,,1937,ROGER LAPEBIE,,,FÉLICIEN VERVAECKE
1.0,,1938,WILLI OBERBECK,,,
2.0,,1938,JEAN MAJERUS,,,
3.0,,1938,JEAN MAJERUS,,,
4.1,,1938,JEAN MAJERUS,,,
4.2,,1938,JEAN MAJERUS,,,
4.3,,1938,JEAN MAJERUS,,,
5.0,,1938,JEAN MAJERUS,,,
6.1,,1938,JEAN MAJERUS,,,
6.2,,1938,ANDRÉ LEDUCQ,,,
7.0,,1938,ANDRÉ LEDUCQ,,,
8.0,,1938,FÉLICIEN VERVAECKE,,,
9.0,,1938,FÉLICIEN VERVAECKE,,,
10.1,,1938,FÉLICIEN VERVAECKE,,,
10.2,,1938,FÉLICIEN VERVAECKE,,,
10.3,,1938,FÉLICIEN VERVAECKE,,,
11.0,,1938,FÉLICIEN VERVAECKE,,,
12.0,,1938,FÉLICIEN VERVAECKE,,,
13.0,,1938,FÉLICIEN VERVAECKE,,,
14.0,,1938,GINO BARTALI,,,
15.0,,1938,GINO BARTALI,,,
16.0,,1938,GINO BARTALI,,,
17.2,,1938,GINO BARTALI,,,
17.1,,1938,GINO BARTALI,,,
18.0,,1938,GINO BARTALI,,,
19.0,,1938,GINO BARTALI,,,
20.1,,1938,GINO BARTALI,,,
